case,seed,state,step,Delta,variant,cut_x,band_element_count,alpha_mean_in_band,g_alpha_mean_in_band,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,integrated_cut_traction_proxy,traction_removed_fraction_vs_current_split,traction_removed_percent_vs_current_split
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.007,14,0.9450281858444214,0.005629470106214285,0.026346597161445873,0.0695594558694701,0.0017957488762558647,0.005852225641511832,3.960894748054457e-09,0.9946420524472772,99.46420524472772
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.008,11,0.9505189657211304,0.0033426389563828707,0.026609297647842558,0.05051537596600042,0.0011455556624600694,0.0042767014015096805,2.7329412708332483e-09,0.9941698508952028,99.41698508952028
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,0.009,13,0.9005448222160339,0.013298575766384602,0.048975940456368335,0.10260464005635583,0.0020304182798593267,0.007917755032065266,5.236874952994092e-09,0.9825739102588248,98.25739102588248
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.006,15,0.933220624923706,0.00871012732386589,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.007,14,0.9450281858444214,0.005629470106214285,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.008,11,0.9505189657211304,0.0033426389563828707,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,void_crack_band,0.009,13,0.9005448222160339,0.013298575766384602,0.0,0.0,0.0,0.0,0.0,1.0,100.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,current_split,0.006,16,0.932589590549469,0.009548932313919067,42.937075912720445,99.34678383393178,0.7902982889901004,5.954647057802555,5.824696660301203e-06,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,current_split,0.007,17,0.9400461912155151,0.009159034118056297,37.276406656108875,87.76498497088964,1.0806889047089552,4.89197740443265,5.921930215843354e-06,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,current_split,0.008,16,0.9323093891143799,0.010228876955807209,35.75073474108993,96.37125207497444,0.28600126133464915,1.7242191144197994,4.95530064491031e-06,0.0,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,current_split,0.009,15,0.9342998266220093,0.008393784053623676,36.16058317616122,84.03143860241306,0.29807328797612825,1.8153607890624,4.494907232785099e-06,0.0,0.0
